6,11,16,0,14,6,300,300,1
5,11,17,0,15,5,300,300,1
5,11,17,0,15,5,300,300,1
5,11,18,0,15,5,300,300,1
5,10,18,0,15,5,300,300,1
5,9,18,1,14,5,300,300,1
5,9,18,3,14,5,300,300,1
2,6,16,2,11,2,300,300,1
5,8,18,5,13,5,300,300,1
5,8,18,6,14,5,300,300,1
5,8,17,6,14,5,300,300,1
5,8,16,7,14,5,300,300,1
5,8,14,8,14,5,300,300,1
5,7,14,9,14,5,300,300,1
5,6,12,11,15,5,300,300,1
5,6,10,13,15,5,300,300,1
5,6,10,13,15,5,300,300,2
4,5,9,15,16,4,300,300,2
4,5,7,16,16,4,300,300,2
4,5,7,17,16,4,300,300,2
4,5,8,17,15,4,300,300,2
4,5,8,18,15,4,300,300,2
4,5,9,19,14,4,300,300,2
4,5,9,19,14,4,300,300,2
0,0,0,0,0,0,300,300,1
3,4,8,23,8,3,300,300,1
5,6,10,25,13,5,300,300,1
5,6,10,25,13,5,300,300,1
5,6,10,25,13,5,300,300,1
5,6,10,25,13,5,300,300,1
5,6,10,25,13,5,300,300,1
6,7,6,19,15,6,300,300,1
7,8,6,18,16,7,300,300,1
7,9,8,16,16,7,300,300,1
7,11,10,13,16,7,300,300,1
7,12,11,12,16,7,300,300,1
7,13,13,8,15,7,300,300,1
7,13,14,6,15,7,300,300,1
7,13,16,4,15,7,-300,-300,1
7,13,18,2,14,7,-300,-300,3
7,14,20,1,14,7,-300,-300,3
7,14,20,1,14,7,-300,-300,3
7,14,19,1,14,7,-300,-300,3
7,13,18,1,16,7,-300,-300,3
7,12,17,1,17,7,-300,-300,3
6,11,16,1,18,6,300,300,3
5,10,14,1,18,5,300,300,1
5,9,13,1,16,5,300,300,1
4,9,11,1,15,4,300,300,1
4,9,12,1,15,4,300,300,1
4,9,12,1,16,4,300,300,1
4,9,13,0,18,4,300,300,1
5,9,13,0,19,5,300,300,1
5,9,14,0,20,5,300,300,1
5,9,15,0,22,5,300,300,1
5,9,15,0,23,5,300,300,1
5,9,15,0,24,5,300,300,1
5,10,16,0,25,5,300,300,1
5,10,16,0,26,5,300,300,1
5,10,16,0,26,5,300,300,1
5,10,16,0,26,5,300,300,1
5,10,16,0,26,5,300,300,1
5,10,16,0,26,5,300,300,1
5,9,16,1,25,5,300,300,1
5,9,16,2,25,5,300,300,1
5,7,15,3,25,5,300,300,1
5,7,14,4,25,5,300,300,1
5,6,13,6,25,5,300,300,1
5,6,12,7,26,5,300,300,1
5,6,11,8,26,5,300,300,1
5,6,10,10,26,5,300,300,1
5,6,9,11,26,5,300,300,1
0,0,0,0,0,0,300,300,1
5,6,7,14,27,5,300,300,1
0,0,2,9,21,0,300,300,2
3,5,6,13,26,3,300,300,2
5,6,6,15,29,5,300,300,2
5,6,7,16,28,5,300,300,2
6,6,7,16,28,6,300,300,2
6,6,7,16,28,6,300,300,2
6,6,7,16,27,6,300,300,2
6,6,6,16,26,6,300,300,2
6,6,6,14,25,6,300,300,2
6,6,6,14,27,6,300,300,2
6,6,5,16,27,6,300,300,2
6,6,5,16,27,6,300,300,2
0,0,0,12,14,0,300,300,2
5,5,5,17,26,5,300,300,2
5,5,6,18,25,5,300,300,2
5,5,6,19,24,5,300,300,2
3,2,5,18,22,3,300,300,2
5,4,8,21,22,5,300,300,2
5,4,8,21,22,5,300,300,2
5,5,8,21,22,5,300,300,2
5,5,9,22,21,5,300,300,1
6,6,9,22,20,6,300,300,2
6,6,8,21,20,6,300,300,2
5,6,7,23,21,5,300,300,2
5,6,7,25,22,5,300,300,2
5,5,7,26,23,5,300,300,2
5,5,7,27,22,5,300,300,2
5,4,7,28,22,5,300,300,2
5,4,7,29,21,5,300,300,2
5,4,7,30,21,5,300,300,2
5,4,8,30,21,5,300,300,2
6,5,8,31,21,6,300,300,2
6,5,8,32,20,6,300,300,2
6,6,8,30,19,6,300,300,2
6,6,8,31,21,6,300,300,1
5,6,8,34,21,5,300,300,2
5,6,7,35,21,5,300,300,2
6,6,7,35,22,6,300,300,2
6,6,7,35,22,6,300,300,2
6,6,7,35,22,6,300,300,2
6,6,7,35,22,6,300,300,2
6,6,6,37,24,6,300,300,2
6,6,7,37,23,6,300,300,2
6,5,7,33,21,6,300,300,2
6,5,7,33,22,6,300,300,2
6,5,7,36,23,6,300,300,2
0,0,0,24,18,0,300,300,2
5,5,6,38,23,5,300,300,2
5,5,6,38,24,5,300,300,2
5,5,6,37,25,5,300,300,2
5,6,6,38,25,5,300,300,2
5,6,6,39,25,5,300,300,2
5,6,6,39,23,5,300,300,2
5,5,6,36,22,5,300,300,1
6,5,6,38,23,6,300,300,1
6,5,5,39,25,6,300,300,1
6,5,5,36,27,6,300,300,1
6,6,4,32,29,6,300,300,1
6,7,4,27,31,6,300,300,1
6,7,4,24,32,6,300,300,1
6,8,5,18,35,6,300,300,1
6,8,6,14,38,6,300,300,1
5,8,7,10,43,5,300,300,1
0,0,0,0,0,0,300,300,1
4,6,6,3,58,4,300,300,1
4,6,6,2,65,4,300,300,1
4,6,7,1,80,4,300,300,1
4,6,7,0,107,4,300,300,1
4,6,8,0,122,4,300,300,1
4,7,8,0,110,4,300,300,1
4,7,8,0,89,4,300,300,1
5,7,8,0,69,5,300,300,1
5,7,9,0,57,5,300,300,1
5,7,9,0,52,5,300,300,1
5,7,9,0,49,5,300,300,1
4,0,5,0,40,4,300,300,1
5,7,10,0,46,5,300,300,1
5,7,9,0,44,5,300,300,1
5,6,9,0,43,5,300,300,1
5,6,9,0,43,5,300,300,1
5,6,8,0,42,5,300,300,1
5,6,8,0,42,5,300,300,1
5,5,7,0,42,5,300,300,1
5,5,7,0,43,5,300,300,1
4,5,6,0,43,4,300,300,2
4,5,6,1,44,4,300,300,2
4,5,5,1,45,4,300,300,2
4,5,5,2,43,4,300,300,2
4,5,5,2,39,4,300,300,2
0,0,0,0,22,0,300,300,2
4,4,6,2,33,4,300,300,1
5,5,6,4,34,5,300,300,1
5,5,6,4,33,5,300,300,1
5,5,6,4,33,5,300,300,1
5,5,5,5,34,5,300,300,1
6,5,4,5,36,6,300,300,1
5,5,4,5,36,5,300,300,1
5,5,4,5,36,5,300,300,1
6,6,3,6,40,6,300,300,1
6,6,3,6,43,6,300,300,1
6,7,4,5,44,6,300,300,1
6,7,4,3,46,6,300,300,1
6,7,5,1,49,6,300,300,1
6,8,5,0,51,6,300,300,1
5,8,6,0,52,5,300,300,1
5,8,7,0,49,5,300,300,1
5,9,7,0,44,5,300,300,1
5,9,9,0,32,5,300,300,1
5,9,9,0,27,5,300,300,1
5,9,11,0,20,5,300,300,1
5,9,12,0,14,5,300,300,1
5,10,14,0,12,5,300,300,1
5,10,15,0,11,5,300,300,1
5,11,15,0,9,5,300,300,1
5,11,16,0,9,5,300,300,1
5,11,17,0,8,5,300,300,1
5,11,18,0,8,5,300,300,1
5,11,18,0,8,5,300,300,1
5,10,19,0,8,5,300,300,1
4,10,19,0,8,4,300,300,1
4,9,19,0,9,4,300,300,1
4,9,18,0,9,4,300,300,1
4,9,18,0,10,4,300,300,1
4,9,18,1,10,4,300,300,1
4,9,18,1,11,4,300,300,1
4,8,18,4,11,4,300,300,1
0,0,0,0,0,0,300,300,1
3,7,16,8,9,3,300,300,1
3,7,14,10,10,3,300,300,1
4,0,0,0,0,4,300,300,1
4,5,11,13,10,4,300,300,1
4,5,11,14,10,4,300,300,1
4,5,10,15,10,4,300,300,1
4,4,9,15,10,4,300,300,1
4,4,8,16,12,4,300,300,1
4,3,7,17,12,4,300,300,1
4,3,6,19,13,4,300,300,1
4,3,5,20,13,4,300,300,1
4,3,4,20,13,4,300,300,2
4,3,4,20,14,4,300,300,2
5,3,3,19,14,5,300,300,2
5,3,2,19,15,5,300,300,2
5,3,2,19,15,5,300,300,2
5,3,2,19,15,5,300,300,2
5,3,2,19,15,5,300,300,2
5,3,2,18,15,5,300,300,2
5,3,2,18,16,5,300,300,2
5,3,2,17,16,5,300,300,2
5,3,2,15,15,5,300,300,2
5,3,2,15,14,5,300,300,2
5,3,2,16,14,5,300,300,2
5,3,2,16,16,5,300,300,2
5,3,2,16,16,5,300,300,2
5,3,2,16,17,5,300,300,2
5,3,2,16,17,5,300,300,2
5,3,2,17,16,5,300,300,2
5,3,2,17,16,5,300,300,2
0,0,0,0,0,0,300,300,2
2,1,2,16,15,2,300,300,2
5,2,2,16,17,5,300,300,2
5,2,2,14,17,5,300,300,2
0,0,0,9,10,0,300,300,2
5,2,2,15,17,5,300,300,2
5,2,3,16,18,5,300,300,2
0,0,0,0,0,0,300,300,2
5,2,3,16,19,5,300,300,2
5,2,3,16,21,5,300,300,2
5,3,3,16,21,5,300,300,2
5,3,3,16,22,5,300,300,2
5,3,3,16,22,5,300,300,2
5,3,3,16,23,5,300,300,2
5,3,3,15,23,5,300,300,2
5,3,4,15,20,5,300,300,2
5,3,4,15,22,5,300,300,2
5,3,4,15,24,5,300,300,2
5,3,4,15,25,5,300,300,2
5,3,3,14,26,5,300,300,2
5,3,3,15,26,5,300,300,2
5,3,3,15,26,5,300,300,2
5,3,3,15,26,5,300,300,2
4,3,3,15,27,4,300,300,2
4,3,3,12,27,4,300,300,2
4,3,2,12,26,4,300,300,2
4,3,2,13,26,4,300,300,2
4,3,2,14,28,4,300,300,2
4,3,2,14,28,4,300,300,2
4,3,2,15,28,4,300,300,2
5,4,2,15,28,5,300,300,2
5,4,3,15,28,5,300,300,1
3,2,1,12,27,3,300,300,1
5,5,3,13,29,5,300,300,1
5,6,3,13,29,5,300,300,1
5,7,4,12,29,5,300,300,1
5,8,5,11,29,5,300,300,1
5,9,6,10,26,5,300,300,1
6,10,7,8,24,6,300,300,1
6,10,9,6,19,6,300,300,1
6,12,11,3,16,6,300,300,1
6,12,13,2,13,6,300,300,1
6,13,15,0,10,6,300,300,1
6,13,18,0,9,6,300,300,1
6,14,20,0,7,6,300,300,1
6,14,22,0,7,6,300,300,1
6,15,24,0,7,6,300,300,1
6,16,25,0,7,6,300,300,1
6,16,28,0,6,6,300,300,1
6,16,31,0,7,6,300,300,1
6,16,33,2,7,6,300,300,1
6,16,35,3,8,6,300,300,1
6,16,37,4,8,6,300,300,1
6,15,38,5,8,6,300,300,1
5,14,38,8,8,5,300,300,1
5,13,38,12,8,5,300,300,1
0,0,30,6,0,0,300,300,1
2,9,34,17,5,2,300,300,1
4,11,31,26,7,4,300,300,1
4,10,29,30,7,4,300,300,1
4,9,25,34,8,4,300,300,1
4,8,21,39,8,4,300,300,1
4,7,18,43,8,4,300,300,1
4,6,15,43,8,4,300,300,1
4,6,11,47,8,4,300,300,1
4,6,8,48,9,4,300,300,1
4,5,7,46,10,4,300,300,1
